adventure_score,cultural_score,nature_score,luxury_score,budget_level,trip_duration_preference,num_days,hotel_type_encoded,activity_count,season_encoded,destination_base_price,num_travellers,total_cost_npr
0.01,0.43,0.29,0.23,0.01,7,4,1,5,1,5000,2,48307
0.65,0.83,0.22,0.08,0.63,14,10,2,6,1,4000,3,345424
0.07,0.14,0.11,0.46,0.45,14,7,0,3,0,3000,1,18290
0.97,0.28,0.13,0.44,0.01,3,4,0,4,0,4000,4,49788
0.46,0.79,0.33,0.84,0.95,3,5,1,1,2,5000,2,91834
0.38,0.01,0.97,0.71,0.38,10,4,2,1,0,5000,1,33259
0.47,0.68,0.31,0.32,0.63,3,10,2,1,1,5000,3,338215
0.05,0.67,0.97,0.24,0.43,3,4,1,5,0,5000,2,34702
0.78,0.48,0.6,0.37,0.09,5,7,0,6,2,4000,1,32330
0.15,0.54,0.11,0.49,0.32,14,5,1,6,0,2000,4,109275
0.25,0.04,0.71,0.56,0.54,10,4,2,2,2,4000,3,176556
0.87,0.6,0.86,0.16,0.53,10,5,1,5,1,5000,1,41557
0.38,0.19,0.02,0.86,0.78,5,5,2,1,2,6000,4,315418
0.5,0.55,0.61,0.32,0.64,3,3,2,6,0,2000,2,53729
0.11,0.19,0.03,0.64,0.39,10,10,2,6,2,4000,1,133004
0.72,0.01,0.92,0.66,0.93,3,7,2,1,1,6000,4,356095
0.71,0.82,0.27,0.04,0.07,7,3,0,5,0,2000,2,23036
0.19,0.66,0.57,0.95,0.56,14,7,2,1,2,6000,3,304659
0.67,0.88,0.17,0.18,0.4,7,4,2,5,1,4000,3,141828
0.37,0.76,0.43,0.73,0.61,14,10,0,4,2,8000,3,175029
0.96,0.0,0.03,0.28,0.02,5,5,0,3,0,3000,3,48096
0.28,0.55,0.56,0.93,0.15,3,7,1,2,0,4000,3,81996
0.26,0.3,0.57,0.57,0.22,3,5,1,2,1,10000,1,29879
0.04,0.81,0.38,0.78,0.92,7,5,1,4,0,10000,2,76338
0.6,0.01,0.78,0.38,0.3,3,5,2,5,0,4000,2,76580
0.73,0.39,0.45,0.6,0.5,5,7,1,4,0,3000,3,106293
0.75,0.55,0.26,0.4,0.43,5,4,1,5,0,5000,4,98459
0.56,1.0,0.52,0.24,0.27,10,5,2,5,0,2000,4,163745
0.19,0.34,0.66,0.77,0.17,7,10,1,5,0,5000,1,42841
0.69,0.16,0.73,0.09,0.74,5,10,0,3,0,4000,1,36651
0.02,0.21,0.54,0.2,0.52,7,10,1,5,2,3000,1,93765
0.66,0.04,0.17,0.28,0.79,14,5,0,4,2,2000,1,36306
0.66,0.91,0.36,0.11,0.29,10,4,1,5,2,2000,3,112616
0.09,0.2,0.97,0.56,0.71,3,4,2,3,1,5000,4,185702
0.35,0.35,0.63,0.24,0.98,14,5,0,6,1,5000,1,29956
0.15,0.9,0.66,0.09,0.38,14,4,1,2,2,3000,4,129611
0.45,0.13,0.65,0.58,0.68,5,4,1,6,2,6000,2,80695
0.93,0.92,0.32,0.56,0.95,3,4,1,2,2,2000,3,114599
0.44,0.93,0.89,0.93,0.27,5,3,0,2,0,10000,3,34745
0.23,0.23,0.69,0.36,0.69,10,4,2,5,1,8000,3,143852
0.47,0.16,0.23,0.41,0.97,7,7,0,6,2,3000,2,90461
0.95,0.44,0.62,0.69,0.87,5,7,1,1,2,8000,4,242216
0.61,0.74,0.59,0.53,0.88,3,10,0,4,1,10000,1,51070
0.4,0.74,0.56,0.52,0.63,3,4,1,4,1,4000,3,82257
0.29,0.92,0.69,0.9,0.46,10,3,2,5,0,3000,2,56766
0.45,0.18,0.59,0.71,0.2,10,3,1,3,2,8000,2,45419
0.11,0.45,0.36,0.52,0.38,14,10,0,4,2,5000,1,56090
0.34,0.87,0.86,0.16,0.14,3,7,1,3,2,10000,4,197820
0.12,0.13,0.2,0.62,0.25,10,7,1,5,0,6000,4,123140
0.66,0.45,0.44,0.6,0.01,14,5,2,6,2,10000,2,104614
0.06,0.35,0.15,0.03,0.58,14,5,1,1,0,2000,4,93309
0.28,0.66,0.7,0.57,0.56,10,10,1,1,0,10000,3,154069
0.38,0.07,0.43,0.55,0.29,5,3,2,3,1,6000,4,126572
0.21,0.06,0.57,0.98,0.53,3,7,2,6,2,10000,3,334854
0.32,0.53,1.0,0.35,0.13,14,7,2,6,2,5000,4,370505
0.61,0.71,0.98,0.0,0.02,3,4,2,4,1,2000,3,116235
0.64,0.01,0.2,0.28,0.79,7,5,2,5,1,10000,1,62931
0.34,0.72,0.62,0.03,0.18,7,5,2,4,1,10000,1,48259
0.16,0.46,0.87,0.9,0.46,10,3,2,3,2,8000,3,133007
0.21,0.69,0.8,0.89,0.35,5,5,0,3,1,8000,2,47182
0.19,0.12,0.78,0.31,0.86,3,5,1,1,1,3000,3,95838
0.53,0.18,0.37,0.04,0.2,3,7,2,1,1,6000,2,132309
0.48,0.87,0.31,0.33,0.77,3,10,2,2,0,8000,1,95474
0.86,0.12,0.31,0.04,0.85,3,5,1,1,0,6000,3,89292
0.31,0.89,0.32,0.19,0.28,7,7,2,1,1,3000,2,119659
0.96,0.56,0.1,0.54,0.55,7,4,2,3,2,3000,2,112420
0.89,0.54,0.05,0.03,0.9,3,3,1,1,0,5000,4,75446
0.89,0.63,0.69,0.45,0.36,7,4,2,6,2,2000,4,226924
0.81,0.92,0.47,0.46,0.68,10,7,0,2,0,10000,3,68207
0.7,0.67,0.79,0.88,0.45,3,3,1,1,1,5000,4,71504
0.35,0.57,0.51,0.41,0.71,3,5,2,6,0,10000,3,156397
0.59,0.24,0.24,0.16,0.48,3,5,0,6,2,5000,4,142119
0.69,0.17,0.67,0.74,0.71,10,3,2,5,1,4000,1,43563
0.31,0.41,0.6,0.69,0.6,10,5,1,6,2,2000,1,44521
0.58,0.75,0.81,0.76,0.66,10,10,1,4,2,6000,4,326324
0.88,0.3,0.79,0.68,0.92,10,5,0,5,0,6000,4,69631
0.37,0.55,0.05,0.7,0.82,7,3,1,1,0,5000,4,69365
0.38,0.38,0.55,0.66,0.47,5,10,1,3,1,3000,3,159925
0.01,0.65,0.14,0.88,0.66,5,3,0,6,1,10000,4,106893
0.93,0.62,0.45,0.42,0.82,10,5,0,2,1,6000,1,28088
0.73,0.71,0.27,0.93,0.58,3,3,2,4,2,4000,1,52137
0.69,0.14,0.73,0.98,0.98,7,7,2,1,2,6000,1,116353
0.74,0.96,0.08,0.63,0.8,7,10,0,3,2,10000,1,63059
0.91,0.57,0.33,0.35,0.98,7,5,0,1,2,6000,3,99428
0.06,0.47,0.17,0.05,0.99,14,3,1,4,0,3000,1,22581
0.13,0.28,0.86,0.01,0.11,5,10,2,2,2,5000,3,329712
0.78,0.24,0.18,0.53,0.03,3,4,2,2,1,10000,4,142463
0.66,0.73,0.17,0.58,0.84,3,5,0,1,0,5000,4,70141
0.75,0.75,0.53,0.38,0.71,10,5,0,5,1,2000,3,93364
0.68,0.96,0.68,0.04,0.92,7,7,2,6,1,4000,3,249870
0.65,0.39,0.77,0.75,0.73,14,4,2,3,2,8000,2,123070
0.67,0.83,0.01,0.1,0.1,10,5,0,6,1,4000,2,30448
0.09,0.94,0.66,0.84,0.95,3,3,0,5,0,5000,2,28265
0.25,0.47,0.94,0.64,0.92,7,7,2,6,1,4000,2,180867
0.78,0.38,0.33,0.06,0.96,7,4,1,1,1,3000,4,122951
0.11,0.54,0.43,0.61,0.11,10,5,0,1,0,2000,3,38589
0.9,0.15,0.64,0.93,0.66,7,4,2,3,1,6000,1,52890
0.77,0.48,0.4,0.73,0.81,3,10,0,1,1,8000,4,191700
0.94,0.36,0.68,0.4,0.63,3,5,2,3,0,10000,4,191383
0.2,0.55,0.97,0.66,0.3,10,3,2,6,1,5000,1,38192
0.19,0.04,0.03,1.0,0.24,10,3,2,6,1,5000,4,108466
0.06,0.79,0.04,0.12,0.81,14,7,2,5,0,8000,2,127742
0.14,0.65,0.47,0.92,0.05,5,3,0,6,0,4000,1,12581
0.84,0.06,0.82,0.11,0.59,14,4,0,2,1,4000,4,70083
0.68,0.55,0.32,0.96,0.21,3,10,0,3,0,2000,3,78471
0.7,0.55,0.44,0.93,0.04,3,10,1,2,0,5000,1,31070
0.93,0.71,0.59,0.28,0.69,10,4,0,2,2,4000,4,101172
0.17,0.69,0.6,0.72,0.61,3,5,1,4,0,6000,2,48745
0.98,0.62,0.86,0.99,0.51,10,4,1,1,0,2000,2,41160
0.18,0.67,0.04,0.64,0.29,10,5,1,5,1,2000,1,33754
0.54,0.16,0.03,0.51,0.07,5,7,2,5,1,5000,2,146199
0.33,0.78,0.33,0.1,0.74,5,7,0,1,1,6000,4,110437
0.22,0.61,0.18,0.37,0.46,5,5,1,2,1,3000,1,31546
0.28,0.11,0.47,0.42,0.76,5,5,2,2,2,6000,2,166486
0.23,0.41,0.52,0.86,0.22,10,7,1,1,2,5000,2,92594
0.58,0.89,0.59,0.15,0.57,3,7,0,1,1,8000,1,29915
0.48,0.8,0.82,0.45,0.24,14,3,2,6,1,3000,2,64065
0.65,0.09,0.48,0.3,0.7,14,10,0,4,1,10000,2,91044
0.79,0.37,0.46,0.63,0.86,3,7,2,3,2,2000,3,336306
0.95,0.54,0.79,0.79,0.08,7,3,2,6,1,2000,1,30930
0.62,0.37,0.18,0.56,0.07,5,4,1,2,2,2000,4,128909
0.96,0.21,0.75,0.23,0.35,7,10,2,4,1,2000,1,99594
0.49,0.53,0.12,0.71,0.68,14,5,1,5,1,10000,1,33290
0.08,0.9,0.29,0.96,0.11,7,3,2,2,1,3000,2,56806
0.29,0.97,0.54,0.13,0.35,10,3,1,2,0,2000,2,31910
0.41,0.34,0.65,0.33,0.59,14,10,1,4,1,6000,2,125737
0.79,0.23,0.37,0.29,0.85,5,5,1,4,0,6000,2,66517
0.18,0.18,0.71,0.9,0.79,5,4,0,1,1,6000,2,33136
0.18,0.56,0.03,0.32,0.34,7,7,2,2,2,4000,1,92682
0.5,0.15,0.46,0.32,0.0,14,10,1,6,2,4000,4,286698
0.15,0.57,0.91,0.44,0.69,10,3,0,6,2,2000,3,58590
0.84,0.45,0.09,0.06,0.64,14,10,0,3,0,2000,1,38232
0.67,0.09,0.51,0.19,0.32,14,10,0,6,1,5000,2,89321
0.39,0.01,0.34,0.31,0.45,14,3,0,6,1,8000,4,89270
0.16,0.73,0.9,0.73,0.41,14,10,0,2,0,4000,4,108831
0.93,0.59,0.38,0.01,0.64,7,7,0,5,1,8000,2,62650
0.38,0.55,0.04,0.83,0.83,7,7,2,6,1,3000,1,85640
0.26,0.96,0.83,0.47,0.65,7,7,0,4,2,8000,2,71989
0.28,0.99,0.07,0.75,0.58,14,7,1,6,2,5000,1,67719
0.58,0.85,0.16,0.06,0.32,5,5,0,1,1,4000,4,66790
0.29,0.53,0.94,0.51,0.77,5,3,2,2,2,4000,3,162688
0.3,0.69,0.69,0.1,0.58,5,3,0,5,1,4000,4,74848
0.91,0.1,0.15,0.22,0.19,14,10,2,5,2,8000,1,130483
0.08,0.82,0.92,0.48,0.31,7,4,1,5,2,10000,3,102039
0.03,0.81,0.22,0.86,0.14,5,5,0,2,0,2000,4,47834
0.02,0.48,0.43,0.2,0.03,14,10,0,4,0,4000,1,25815
0.01,0.1,0.12,0.6,0.59,5,4,2,3,0,2000,2,78968
0.58,0.35,0.86,0.78,0.61,14,10,0,1,2,10000,1,51767
0.19,0.28,0.9,0.54,0.97,3,4,2,6,1,4000,2,125063
0.11,0.83,0.98,0.42,0.51,10,3,1,1,1,2000,2,38543
0.29,0.72,0.08,0.49,0.38,10,10,2,3,2,10000,4,533633
0.29,0.86,0.19,0.07,0.84,10,5,0,1,2,5000,1,30674
0.66,0.09,0.14,0.4,0.59,3,4,0,3,0,4000,2,30436
0.23,0.42,0.5,0.76,0.77,14,5,2,4,1,5000,4,251861
0.15,0.45,0.12,0.49,0.23,5,3,0,6,0,10000,1,14032
0.97,0.38,0.68,0.15,0.62,3,3,2,5,1,10000,4,144200
0.5,0.5,0.54,0.81,0.54,3,3,1,1,1,5000,3,56991
0.04,0.18,0.66,0.78,0.88,5,7,1,2,1,8000,4,183112
0.68,0.66,0.69,0.57,0.48,5,10,0,4,1,5000,4,193289
0.77,0.28,0.06,0.59,0.13,7,5,2,5,0,10000,3,109560
0.35,0.36,0.35,0.66,0.25,7,10,0,6,0,10000,3,79583
0.02,0.33,0.46,0.86,0.57,10,5,0,6,1,6000,1,25672
0.39,0.57,0.81,0.1,0.68,7,7,2,6,1,3000,3,247471
0.5,0.85,0.79,0.84,0.54,7,5,0,3,2,5000,2,57711
0.84,0.09,0.34,0.07,0.8,10,7,0,3,0,8000,3,77677
0.66,0.31,0.41,0.25,0.52,14,4,0,6,2,6000,2,62495
0.66,0.82,0.94,0.27,0.64,14,7,2,6,2,2000,2,211306
0.24,0.75,0.77,0.84,0.41,3,4,1,3,1,8000,2,55061
0.24,0.24,0.15,0.03,0.8,7,7,1,5,1,5000,1,44016
0.14,0.26,0.8,0.66,0.18,3,7,0,1,0,4000,3,63175
0.36,0.66,0.09,0.94,0.72,5,4,0,5,2,6000,1,36310
0.58,0.78,0.53,0.5,0.09,14,3,1,3,2,8000,4,102898
0.42,0.14,0.18,0.97,0.44,7,10,0,4,2,4000,1,56197
0.47,0.25,0.28,0.78,0.14,10,5,1,1,2,6000,1,39152
0.94,0.69,0.79,0.24,0.55,7,5,2,1,2,10000,2,133186
0.91,0.39,0.98,0.26,0.09,5,5,0,2,1,8000,3,62953
0.79,0.27,0.08,0.78,0.49,10,5,2,4,0,10000,2,91122
0.07,0.42,0.73,0.55,0.33,3,3,2,6,0,8000,4,127864
0.0,0.2,0.31,0.58,0.11,5,10,2,6,0,10000,4,304374
0.48,0.74,0.26,0.69,0.83,7,4,0,4,1,3000,4,89998
0.02,0.02,0.56,0.61,0.23,3,7,0,3,2,10000,2,66964
0.43,0.26,0.09,0.37,0.95,3,3,2,5,1,10000,4,201190
0.12,0.71,0.19,0.86,0.78,7,7,1,2,1,10000,2,96841
0.28,0.68,0.42,0.41,0.15,7,5,0,5,1,3000,3,78122
0.46,0.01,0.13,0.32,0.69,5,7,2,4,2,6000,3,294381
0.06,0.33,0.23,0.91,1.0,14,3,0,3,2,6000,4,91990
0.37,0.97,0.56,0.58,0.26,14,7,1,4,0,2000,3,106785
0.14,0.12,0.04,0.13,0.87,7,5,1,3,1,6000,3,110238
0.89,0.32,0.99,0.76,0.15,10,3,0,2,0,3000,2,16419
0.16,0.47,0.12,0.9,0.49,10,5,2,5,1,5000,4,236868
0.15,0.35,0.2,0.28,0.83,14,5,2,6,2,3000,1,88328
0.42,0.08,0.77,0.68,0.89,3,5,2,6,0,5000,3,164865
0.32,0.03,0.46,0.71,0.48,7,10,2,1,1,2000,4,450189
0.91,0.8,0.13,0.86,0.8,7,5,0,6,0,6000,4,74615
0.18,0.97,0.87,0.09,0.85,5,7,1,3,2,10000,2,121313
0.8,0.74,0.92,0.9,0.6,7,3,1,5,0,5000,4,75602
0.56,0.42,0.76,0.81,0.61,10,7,0,1,2,4000,4,146789
0.69,0.16,0.5,0.63,0.52,7,7,1,1,1,4000,2,97445
0.3,0.25,0.43,0.57,0.55,3,10,0,5,1,5000,1,53198
0.57,0.25,0.25,0.08,0.5,3,7,0,2,1,2000,1,32026
0.31,0.72,0.76,0.45,0.81,7,4,0,2,0,8000,3,43166
0.53,0.01,0.12,0.17,0.48,10,10,2,4,1,6000,3,358625
0.69,0.39,0.3,0.13,0.01,3,3,2,2,0,3000,4,85267
0.24,0.84,0.86,0.54,0.09,10,4,1,4,0,2000,2,37479
0.96,0.47,0.86,0.59,0.2,14,7,0,3,0,2000,4,93874
0.58,0.73,1.0,0.04,0.4,14,10,2,5,2,10000,4,544677
0.53,0.42,0.32,0.06,0.89,10,7,0,4,2,8000,3,160003
0.02,0.29,0.19,0.34,0.23,5,10,2,3,2,10000,4,487514
0.71,0.96,0.83,0.67,0.73,10,4,2,2,1,8000,1,47842
0.17,0.16,0.49,0.79,0.94,10,5,0,2,2,2000,1,29143
0.68,0.17,0.86,0.5,0.81,7,7,0,5,0,2000,2,54153
0.78,0.77,0.77,0.56,0.9,14,10,2,1,2,2000,4,670432
0.84,0.11,0.11,0.61,0.78,3,10,0,5,0,3000,1,33448
0.73,0.71,0.76,0.5,0.87,5,5,1,2,0,10000,2,60776
0.77,0.25,0.81,0.34,0.51,3,5,1,6,1,4000,2,67739
0.79,0.14,0.43,0.92,0.9,14,5,0,4,0,10000,1,27562
0.07,0.34,0.4,0.77,0.43,10,3,2,6,0,6000,1,33741
0.66,0.52,0.3,0.4,0.68,14,5,2,6,1,4000,1,69061
0.53,0.92,0.7,0.45,0.21,14,10,2,6,1,8000,3,316097
0.78,0.88,0.08,0.54,0.39,5,10,2,3,0,2000,3,249678
0.64,0.02,0.89,0.54,0.26,7,7,2,1,2,2000,3,269539
0.35,0.05,0.65,0.12,0.3,3,7,1,2,2,6000,2,95333
0.67,0.82,0.57,0.14,0.38,5,3,1,5,2,3000,3,76854
0.71,0.83,0.08,0.06,0.89,10,4,1,1,1,8000,4,121167
0.78,0.87,0.58,0.64,1.0,10,7,0,2,2,3000,4,177808
0.97,0.51,0.53,0.69,0.46,3,4,2,3,0,6000,4,126188
0.57,0.04,0.15,0.37,0.99,7,5,1,1,0,3000,4,116993
0.28,0.18,0.74,0.0,0.55,3,3,1,4,2,4000,4,112646
0.83,0.83,0.13,0.14,0.64,10,7,0,6,1,2000,4,142927
0.4,0.54,0.96,0.89,0.74,3,4,2,1,2,8000,3,184812
0.64,0.09,0.96,0.54,0.76,14,10,0,4,2,2000,1,63610
0.96,0.27,0.21,0.83,0.84,14,7,0,5,2,4000,4,172460
0.86,0.02,0.44,0.41,0.86,7,7,1,1,0,2000,2,65438
0.26,0.09,0.31,0.41,0.17,14,5,0,1,2,2000,3,54985
0.14,0.89,0.26,0.94,0.9,3,4,0,5,2,3000,4,135195
0.95,0.27,0.32,0.55,0.07,3,7,2,2,0,4000,1,51156
0.79,0.3,0.41,0.08,0.64,5,4,1,5,0,10000,2,54749
0.91,0.45,0.0,0.46,0.83,7,4,0,1,1,4000,3,55151
0.84,0.21,0.84,0.28,0.16,14,10,0,3,0,5000,1,28532
0.56,0.28,0.43,0.61,0.96,7,5,2,3,2,5000,3,257819
0.34,0.46,0.6,0.02,0.69,3,10,1,1,0,8000,2,114806
0.7,0.49,0.39,0.08,0.88,3,10,0,6,1,8000,1,54491
0.6,0.39,0.84,0.81,0.98,3,7,1,2,1,2000,2,97395
0.28,0.92,0.36,0.09,0.61,7,4,0,4,1,2000,3,74829
0.61,0.01,0.98,0.64,0.11,7,10,2,4,0,6000,2,155382
0.68,0.57,0.07,0.13,0.07,7,10,0,5,2,10000,3,137467
0.99,0.69,0.53,0.25,0.56,10,3,1,6,2,8000,1,32631
1.0,0.27,0.68,0.47,0.36,3,4,0,3,1,6000,4,54695
0.19,0.08,0.57,0.03,0.74,10,3,0,2,0,4000,3,37146
0.1,0.48,0.81,0.59,0.63,7,5,0,1,1,3000,3,59919
0.79,0.94,0.78,0.62,0.76,10,10,0,1,0,2000,4,144141
0.78,0.06,0.8,0.05,0.61,10,3,0,6,0,6000,1,13775
0.1,0.75,0.23,0.6,0.66,3,7,1,4,1,6000,1,54828
0.68,0.03,0.52,0.59,0.11,3,10,2,1,2,10000,2,220697
0.51,0.36,0.48,0.62,0.19,5,3,0,2,1,6000,4,57879
0.36,0.58,0.54,0.15,0.47,14,5,1,3,0,6000,2,45489
0.82,0.56,0.05,0.34,0.98,5,3,1,2,2,5000,4,135292
0.85,0.57,0.34,0.3,0.33,3,7,0,4,0,2000,2,46245
0.62,0.24,0.73,0.95,0.33,10,4,1,2,0,4000,1,16365
0.55,0.14,0.44,0.63,0.91,7,3,0,2,0,4000,2,23861
0.17,0.85,0.25,0.2,0.18,7,3,0,6,0,5000,1,10941
0.46,0.37,0.37,0.17,0.53,14,7,2,1,0,3000,2,111749
0.53,0.69,0.32,0.43,0.64,3,10,2,2,2,4000,2,267811
0.63,0.28,0.13,0.51,0.58,10,4,2,1,1,10000,1,43750
0.75,0.65,0.51,0.5,0.46,7,5,2,6,1,8000,4,229626
0.4,0.92,0.58,0.04,0.22,5,7,0,4,0,4000,4,88368
0.94,0.37,0.55,0.13,0.08,10,10,1,2,2,2000,4,276275
0.43,0.47,0.41,0.8,0.32,10,3,0,4,0,4000,1,9686
0.84,0.51,0.64,0.79,0.93,3,3,0,3,0,6000,2,25742
0.33,0.3,0.82,0.68,0.27,14,4,2,6,2,4000,1,60042
0.82,0.78,0.4,0.41,0.58,3,7,2,5,0,10000,4,248532
0.75,0.47,0.52,0.79,0.76,10,5,0,3,0,5000,4,75873
0.85,0.03,0.14,0.87,0.31,3,7,2,3,1,3000,4,302077
0.4,0.78,0.54,0.33,0.02,3,4,0,3,2,8000,4,78973
0.39,0.53,0.19,0.11,0.57,10,5,0,2,0,8000,2,38438
0.49,0.19,0.07,0.96,0.28,5,5,2,5,0,5000,1,40587
0.17,0.86,0.41,0.16,0.11,14,7,1,6,0,5000,2,54099
0.43,0.71,0.47,0.6,0.94,14,4,2,6,2,5000,3,187684
0.45,0.82,0.6,0.25,0.33,14,7,1,4,2,2000,1,61344
0.92,0.35,0.84,0.79,0.39,5,7,0,2,2,8000,4,159113
0.66,0.7,0.1,0.7,0.04,5,5,2,5,1,8000,1,52856
0.9,0.91,0.41,0.76,0.12,7,3,0,5,1,5000,4,43661
0.51,0.46,0.07,0.69,0.75,10,5,2,4,0,5000,1,43501
0.71,0.14,0.67,0.46,0.46,3,10,2,2,2,5000,2,273359
0.16,0.84,0.61,0.18,0.12,10,4,0,6,0,8000,3,38172
0.18,0.71,0.89,0.53,0.44,3,10,2,6,2,8000,1,144483
0.44,0.6,0.05,0.38,0.2,5,5,0,2,0,2000,4,42476
0.82,0.68,0.06,0.96,0.1,5,4,0,4,2,2000,3,68822
0.19,0.21,0.54,0.94,0.12,5,3,1,3,0,2000,4,55341
0.39,0.46,0.07,0.82,0.65,7,3,0,2,1,4000,4,61649
0.79,0.92,0.57,0.25,0.09,7,7,2,6,0,4000,2,113344
0.98,0.67,0.07,0.02,0.91,10,7,2,6,2,3000,1,109516
0.76,0.12,0.24,0.43,0.24,3,3,0,3,1,4000,2,21977
0.64,0.24,0.73,0.99,0.44,7,4,1,3,2,10000,1,35711
0.81,0.75,0.23,0.73,0.34,5,10,0,6,0,10000,2,71001
0.32,0.44,0.01,0.87,0.07,5,3,2,2,0,3000,1,22279
0.83,0.93,0.24,0.08,0.72,7,4,2,2,0,5000,2,73733
0.29,0.45,0.64,0.27,0.78,3,5,1,4,0,5000,4,126145
0.73,0.76,0.82,0.79,0.02,10,7,0,3,2,6000,2,70303
0.26,0.46,0.45,0.38,0.61,3,5,0,6,1,3000,2,34938
0.86,0.73,0.37,0.4,0.42,10,5,1,4,1,8000,1,31128
0.12,0.93,0.16,0.76,0.96,7,10,2,4,2,8000,3,483665
0.39,0.42,0.25,0.48,0.92,7,3,2,6,2,3000,3,190990
0.68,0.25,0.6,0.95,0.84,3,3,0,6,2,5000,4,145122
0.9,0.52,0.19,0.42,0.83,7,5,2,5,2,5000,3,274048
0.88,0.73,0.09,0.64,0.78,7,4,1,6,0,8000,4,110061
0.99,0.82,0.0,0.07,0.7,14,7,2,3,2,5000,2,201283
0.7,0.2,0.18,0.95,0.45,5,4,0,1,2,3000,2,40724
0.63,0.62,0.87,0.17,0.29,10,3,1,1,1,2000,2,36312
0.76,0.01,0.27,0.96,0.67,3,3,0,5,0,5000,3,49231
0.34,0.43,0.37,0.89,1.0,5,5,2,4,1,6000,1,67945
0.1,0.46,0.7,0.73,0.89,5,3,2,1,2,4000,2,98367
0.69,0.87,0.51,0.66,0.0,7,3,2,3,0,10000,3,68175
0.61,0.4,0.61,0.08,0.43,10,3,2,4,1,6000,2,73057
0.52,0.57,0.86,0.5,0.13,3,5,2,5,1,3000,4,190865
0.54,0.24,0.17,0.94,0.7,3,7,2,1,0,4000,4,243516
0.72,0.67,0.95,0.67,0.67,14,7,0,6,1,10000,2,75712
0.64,0.38,0.72,0.74,0.38,14,7,0,2,1,2000,3,59093
0.34,0.59,0.19,0.94,0.57,5,5,1,5,2,2000,3,133947
0.19,0.39,0.42,0.77,0.8,5,10,2,5,2,3000,1,147398
0.85,0.32,0.82,0.3,0.22,10,4,2,3,0,8000,1,31585
0.5,0.69,0.27,0.85,0.57,5,7,1,6,1,2000,3,144781
0.85,0.93,0.23,0.74,0.92,5,7,2,4,1,10000,2,175286
0.34,0.68,0.99,0.76,0.39,14,5,1,6,0,8000,4,87153
0.75,0.58,0.81,0.85,0.71,10,4,2,2,1,8000,4,172711
0.22,0.75,0.74,0.01,0.73,14,3,2,2,1,5000,2,64449
0.97,0.18,0.05,0.98,0.65,14,7,0,6,2,5000,2,63765
0.4,0.3,0.6,0.17,0.75,3,7,2,4,1,8000,4,300181
0.12,0.12,0.64,0.91,0.22,14,10,2,4,1,8000,1,99184
0.38,1.0,0.7,0.3,0.13,7,3,2,5,0,5000,1,26210
0.54,0.81,0.49,0.52,0.58,3,4,2,1,0,10000,2,70476
0.8,0.12,0.13,0.21,0.16,14,5,0,1,0,6000,3,41449
0.42,0.95,0.0,0.3,0.95,14,5,2,5,1,3000,4,280792
0.91,1.0,0.61,0.51,0.69,3,4,0,2,0,4000,2,31574
0.22,0.36,0.13,0.62,0.07,7,5,1,6,0,5000,4,83144
0.43,0.69,0.54,0.07,0.73,5,5,2,6,2,10000,2,156550
0.99,0.43,0.03,0.6,0.08,3,10,0,6,2,5000,1,48524
0.36,0.33,0.27,0.87,0.23,3,3,1,2,1,2000,1,18096
0.88,0.59,0.81,0.1,0.35,14,5,2,3,2,2000,1,67267
0.75,0.18,0.81,0.68,0.79,14,10,1,4,2,3000,3,285456
0.71,0.66,0.14,0.57,0.27,7,4,2,5,1,8000,4,161297
0.8,0.5,0.28,0.43,0.94,5,5,2,1,1,5000,3,184810
0.08,0.24,0.09,0.58,0.08,7,10,1,1,1,8000,2,102738
0.69,0.68,0.53,0.12,0.01,5,3,2,4,2,6000,3,116584
0.92,1.0,0.94,0.68,0.04,10,4,2,5,0,3000,1,29017
0.35,0.05,0.5,0.17,0.97,7,4,2,1,1,4000,4,189799
0.0,0.63,0.39,0.92,0.93,14,3,1,5,1,2000,3,71209
0.33,0.35,0.01,0.89,0.19,7,3,0,4,1,3000,1,16601
0.15,0.12,0.49,0.16,0.66,5,7,1,3,1,4000,4,200125
0.27,0.99,0.66,0.44,0.14,10,3,1,6,0,2000,2,26641
0.39,0.74,0.9,0.16,0.2,10,5,0,4,1,6000,4,108722
0.13,0.75,0.78,0.4,0.73,10,4,0,1,0,3000,2,26473
0.77,0.24,0.68,0.34,0.98,3,7,1,3,1,5000,1,53629
0.62,0.73,0.19,0.28,0.12,7,4,2,4,0,5000,1,34582
0.61,0.19,0.85,0.63,0.15,3,4,1,1,1,3000,2,37566
0.2,0.86,0.38,0.52,0.7,5,4,1,4,1,2000,4,112907
0.11,0.36,0.94,0.71,0.25,3,4,0,1,0,8000,3,32404
0.28,0.61,0.43,0.25,0.49,7,5,0,1,2,2000,2,54285
0.81,0.74,0.59,0.6,0.24,7,4,2,4,0,2000,2,68491
0.04,0.97,0.88,0.82,0.19,10,3,0,5,2,4000,3,74050
0.2,0.72,0.04,0.19,0.55,7,10,1,3,1,8000,1,55996
0.42,0.93,0.5,0.02,0.6,5,5,0,5,0,10000,2,46891
0.68,0.87,0.97,0.17,0.75,10,10,1,4,2,4000,2,141295
0.57,0.59,0.01,0.93,0.51,14,10,1,3,0,4000,3,128841
0.22,0.53,0.29,0.64,0.94,7,4,1,1,2,3000,2,62209
0.65,0.63,0.97,0.32,0.95,14,5,2,2,1,6000,3,179524
