name,slug,region,category,description,short_description,highlights,best_season,best_months,difficulty,min_days,max_days,base_price_per_day,image_url,latitude,longitude,tags,is_featured
Pattek hill,pattek-hill,Terai,Adventure,"Pattek hill is a popular adventure destination in the Terai region of Nepal. Known for its hills, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Pattek hill — a beautiful adventure destination in Nepal.,Hills|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/pattek-hill.jpg,27.9696,82.0169,"hills,trekking",False
Milke dada,milke-dada,Terai,Adventure,"Milke dada is a popular adventure destination in the Terai region of Nepal. Known for its mountain, rhododendron, trekkking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Milke dada — a beautiful adventure destination in Nepal.,Mountain|Rhododendron|Trekkking|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/milke-dada.jpg,26.6461,82.5924,"mountain,rhododendron,trekkking",False
Panchakanya pokhari,panchakanya-pokhari,Terai,Cultural,"Panchakanya pokhari is a popular cultural destination in the Terai region of Nepal. Known for its pond, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Panchakanya pokhari — a beautiful cultural destination in Nepal.,Pond|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/panchakanya-pokhari.jpg,26.5863,82.7775,"pond,temple",False
Makalu barun national park,makalu-barun-national-park,Terai,Adventure,"Makalu barun national park is a popular adventure destination in the Terai region of Nepal. Known for its trekking, wildlife, lakes, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Makalu barun national park — a beautiful adventure destination in Nepal.,Trekking|Wildlife|Lakes|River,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/makalu-barun-national-park.jpg,29.1514,85.1056,"trekking,wildlife,lakes,river",False
Chinnamasta Bhagawati,chinnamasta-bhagawati,Terai,Cultural,"Chinnamasta Bhagawati is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Chinnamasta Bhagawati — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/chinnamasta-bhagawati.jpg,27.9769,85.8462,"hindu,temple",False
Kankalini Temple,kankalini-temple,Terai,Cultural,"Kankalini Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Kankalini Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/kankalini-temple.jpg,27.7032,87.926,"hindu,temple",False
Kanakpatti Palace,kanakpatti-palace,Terai,Cultural,"Kanakpatti Palace is a popular cultural destination in the Terai region of Nepal. Known for its palace, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Kanakpatti Palace — a beautiful cultural destination in Nepal.,Palace|Landmarks|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/kanakpatti-palace.jpg,28.1479,84.8836,"palace,landmarks",False
Rajdevi Temple,rajdevi-temple,Terai,Cultural,"Rajdevi Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Rajdevi Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/rajdevi-temple.jpg,26.521,85.0753,"hindu,temple",False
Chandrabhoga Gadhi,chandrabhoga-gadhi,Terai,Cultural,"Chandrabhoga Gadhi is a popular cultural destination in the Terai region of Nepal. Known for its landmarks, art, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Chandrabhoga Gadhi — a beautiful cultural destination in Nepal.,Landmarks|Art|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/chandrabhoga-gadhi.jpg,26.667,80.4648,"landmarks,art",False
Shambhunath Temple,shambhunath-temple,Terai,Cultural,"Shambhunath Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Shambhunath Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/shambhunath-temple.jpg,26.9394,80.7285,"hindu,temple",False
Rajbiraj,rajbiraj,Terai,Cultural,"Rajbiraj is a popular cultural destination in the Terai region of Nepal. Known for its city, landmarks, terai region, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Rajbiraj — a beautiful cultural destination in Nepal.,City|Landmarks|Terai Region|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/rajbiraj.jpg,29.1995,80.4069,"city,landmarks,terai region",False
"Vishnu Temple, Saptari",vishnu-temple-saptari,Terai,Cultural,"Vishnu Temple, Saptari is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.","Explore Vishnu Temple, Saptari — a beautiful cultural destination in Nepal.",Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/vishnu-temple-saptari.jpg,27.8562,83.7466,"hindu,temple",False
Khodardevi Cave,khodardevi-cave,Terai,Nature,"Khodardevi Cave is a popular nature destination in the Terai region of Nepal. Known for its cave, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Khodardevi Cave — a beautiful nature destination in Nepal.,Cave|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/khodardevi-cave.jpg,26.6889,83.9838,"cave,landmarks",False
Lahan Bazar,lahan-bazar,Terai,Cultural,"Lahan Bazar is a popular cultural destination in the Terai region of Nepal. Known for its city, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Lahan Bazar — a beautiful cultural destination in Nepal.,City|Landmarks|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/lahan-bazar.jpg,28.5096,80.9146,"city,landmarks",False
"Fulbari , Siraha",fulbari-siraha,Terai,Nature,"Fulbari , Siraha is a popular nature destination in the Terai region of Nepal. Known for its city, garden, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.","Explore Fulbari , Siraha — a beautiful nature destination in Nepal.",City|Garden|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/fulbari-siraha.jpg,28.4828,80.7234,"city,garden,landmarks",False
Kamal Dah,kamal-dah,Terai,Nature,"Kamal Dah is a popular nature destination in the Terai region of Nepal. Known for its lake, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Kamal Dah — a beautiful nature destination in Nepal.,Lake,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/kamal-dah.jpg,28.9077,87.07,lake,False
Kamala River,kamala-river,Terai,Nature,"Kamala River is a popular nature destination in the Terai region of Nepal. Known for its river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Kamala River — a beautiful nature destination in Nepal.,River,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/kamala-river.jpg,28.9089,82.4622,river,False
Manik Dah,manik-dah,Terai,Nature,"Manik Dah is a popular nature destination in the Terai region of Nepal. Known for its lake, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Manik Dah — a beautiful nature destination in Nepal.,Lake,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/manik-dah.jpg,26.7133,80.5332,lake,False
Janaki Mandir,janaki-mandir,Terai,Cultural,"Janaki Mandir is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Janaki Mandir — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/janaki-mandir.jpg,26.8457,83.755,"hindu,temple",False
Ram Mandir,ram-mandir,Terai,Cultural,"Ram Mandir is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Ram Mandir — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/ram-mandir.jpg,29.3445,80.7525,"hindu,temple",False
Jaleshwar,jaleshwar,Terai,Cultural,"Jaleshwar is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, pond, park, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Jaleshwar — a beautiful cultural destination in Nepal.,Hindu|Temple|Pond|Park|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/jaleshwar.jpg,27.9198,80.4176,"hindu,temple,pond,park",False
Vivah Mandap,vivah-mandap,Terai,Cultural,"Vivah Mandap is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, pond, park, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Vivah Mandap — a beautiful cultural destination in Nepal.,Hindu|Temple|Pond|Park|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/vivah-mandap.jpg,27.4997,83.8893,"hindu,temple,pond,park",False
Ratna Sagar,ratna-sagar,Terai,Cultural,"Ratna Sagar is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, pond, park, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Ratna Sagar — a beautiful cultural destination in Nepal.,Hindu|Temple|Pond|Park|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/ratna-sagar.jpg,29.3216,85.7046,"hindu,temple,pond,park",False
Sarlahi Devi Temple,sarlahi-devi-temple,Terai,Cultural,"Sarlahi Devi Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Sarlahi Devi Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/sarlahi-devi-temple.jpg,27.5861,84.5516,"hindu,temple",False
Gadhimai Temple,gadhimai-temple,Terai,Cultural,"Gadhimai Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gadhimai Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/gadhimai-temple.jpg,27.8258,81.2066,"hindu,temple",False
Rautahat,rautahat,Terai,Cultural,"Rautahat is a popular cultural destination in the Terai region of Nepal. Known for its city, muslim, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Rautahat — a beautiful cultural destination in Nepal.,City|Muslim|Landmarks|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/rautahat.jpg,29.2733,83.4931,"city,muslim,landmarks",False
Parsa National Park,parsa-national-park,Terai,Wildlife,"Parsa National Park is a popular wildlife destination in the Terai region of Nepal. Known for its national park, wildlife, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking wildlife experiences.",Explore Parsa National Park — a beautiful wildlife destination in Nepal.,National Park|Wildlife|Landmarks,Autumn (Sep-Nov),"1,2,3,10,11,12",Easy,2,5,4000,/images/destinations/parsa-national-park.jpg,28.2981,83.9591,"national park,wildlife,landmarks",False
Maha Gadhimai,maha-gadhimai,Terai,Cultural,"Maha Gadhimai is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Maha Gadhimai — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/maha-gadhimai.jpg,28.8307,80.5065,"hindu,temple",False
Churiya Mai Temple,churiya-mai-temple,Terai,Cultural,"Churiya Mai Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Churiya Mai Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/churiya-mai-temple.jpg,27.8471,81.0181,"hindu,temple",False
Gadhimai Temple Jeetpur,gadhimai-temple-jeetpur,Terai,Cultural,"Gadhimai Temple Jeetpur is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gadhimai Temple Jeetpur — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/gadhimai-temple-jeetpur.jpg,28.1682,81.2991,"hindu,temple",False
Gateway of Nepal (Shankaracharya Gate),gateway-of-nepal-shankaracharya-gate,Terai,Cultural,"Gateway of Nepal (Shankaracharya Gate) is a popular cultural destination in the Terai region of Nepal. Known for its landmarks, history, border, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gateway of Nepal (Shankaracharya Gate) — a beautiful cultural destination in Nepal.,Landmarks|History|Border|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/gateway-of-nepal-shankaracharya-gate.jpg,29.3457,82.5422,"landmarks,history,border",False
Ghadiarwa Pokhari – Birgunj,ghadiarwa-pokhari-birgunj,Terai,Nature,"Ghadiarwa Pokhari – Birgunj is a popular nature destination in the Terai region of Nepal. Known for its hindu, temple, pond, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Ghadiarwa Pokhari – Birgunj — a beautiful nature destination in Nepal.,Hindu|Temple|Pond,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/ghadiarwa-pokhari-birgunj.jpg,28.3277,87.1268,"hindu,temple,pond",False
Gahawa Mai Temple,gahawa-mai-temple,Terai,Cultural,"Gahawa Mai Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gahawa Mai Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/gahawa-mai-temple.jpg,27.9138,83.8363,"hindu,temple",False
Parasnath Temple,parasnath-temple,Terai,Cultural,"Parasnath Temple is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Parasnath Temple — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/parasnath-temple.jpg,27.2221,85.0072,"hindu,temple",False
Vata Mandir,vata-mandir,Terai,Cultural,"Vata Mandir is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Vata Mandir — a beautiful cultural destination in Nepal.,Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/vata-mandir.jpg,27.6149,82.002,"hindu,temple",False
Pashupatinath temple,pashupatinath-temple,Hilly,Cultural,"Pashupatinath temple is a popular cultural destination in the Hilly region of Nepal. Known for its Heritage, statues, temple, Religious shrine, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Pashupatinath temple — a beautiful cultural destination in Nepal.,Heritage|Statues|Temple|Religious Shrine|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/pashupatinath-temple.jpg,26.9027,84.1953,"heritage,statues,temple,religious shrine",False
Hanumandhoka palace,hanumandhoka-palace,Hilly,Cultural,"Hanumandhoka palace is a popular cultural destination in the Hilly region of Nepal. Known for its Temple, sightseeing, historical, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Hanumandhoka palace — a beautiful cultural destination in Nepal.,Temple|Sightseeing|Historical|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/hanumandhoka-palace.jpg,27.3934,82.6858,"temple,sightseeing,historical",False
Chitwan national park,chitwan-national-park,Hilly,Adventure,"Chitwan national park is a popular adventure destination in the Hilly region of Nepal. Known for its trekking, wildlife, lakes, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Chitwan national park — a beautiful adventure destination in Nepal.,Trekking|Wildlife|Lakes|River,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/chitwan-national-park.jpg,27.9673,87.9736,"trekking,wildlife,lakes,river",True
Kalinchowk bhagwati temple,kalinchowk-bhagwati-temple,Hilly,Cultural,"Kalinchowk bhagwati temple is a popular cultural destination in the Hilly region of Nepal. Known for its Temple, sightseeing, Religious, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Kalinchowk bhagwati temple — a beautiful cultural destination in Nepal.,Temple|Sightseeing|Religious|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/kalinchowk-bhagwati-temple.jpg,26.9979,80.9131,"temple,sightseeing,religious",False
Baudhanath stupa,baudhanath-stupa,Hilly,Cultural,"Baudhanath stupa is a popular cultural destination in the Hilly region of Nepal. Known for its Temple, statues, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Baudhanath stupa — a beautiful cultural destination in Nepal.,Temple|Statues|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/baudhanath-stupa.jpg,26.8297,83.8699,"temple,statues",False
Gosaikunda lake,gosaikunda-lake,Hilly,Adventure,"Gosaikunda lake is a popular adventure destination in the Hilly region of Nepal. Known for its lake, trekking, mountain, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Gosaikunda lake — a beautiful adventure destination in Nepal.,Lake|Trekking|Mountain,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/gosaikunda-lake.jpg,26.674,83.7765,"lake,trekking,mountain",False
Saping village,saping-village,Hilly,Cultural,"Saping village is a popular cultural destination in the Hilly region of Nepal. Known for its hill, village, cultural, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Saping village — a beautiful cultural destination in Nepal.,Hill|Village|Cultural|Trekking|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/saping-village.jpg,27.9,84.6891,"hill,village,cultural,trekking",False
Patan durbar square,patan-durbar-square,Hilly,Cultural,"Patan durbar square is a popular cultural destination in the Hilly region of Nepal. Known for its temples, statues, cultural, sculpture, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Patan durbar square — a beautiful cultural destination in Nepal.,Temples|Statues|Cultural|Sculpture|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/patan-durbar-square.jpg,29.1357,80.5049,"temples,statues,cultural,sculpture",True
Changunarayan temple,changunarayan-temple,Hilly,Cultural,"Changunarayan temple is a popular cultural destination in the Hilly region of Nepal. Known for its temples, statues, cultural, sculpture, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Changunarayan temple — a beautiful cultural destination in Nepal.,Temples|Statues|Cultural|Sculpture|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/changunarayan-temple.jpg,26.5669,81.9481,"temples,statues,cultural,sculpture",False
Bhaktapur durbar square,bhaktapur-durbar-square,Hilly,Cultural,"Bhaktapur durbar square is a popular cultural destination in the Hilly region of Nepal. Known for its temples, statues, cultural, sculpture, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Bhaktapur durbar square — a beautiful cultural destination in Nepal.,Temples|Statues|Cultural|Sculpture|Museum|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/bhaktapur-durbar-square.jpg,28.0248,83.8086,"temples,statues,cultural,sculpture,museum",True
Nagarkot,nagarkot,Hilly,Adventure,"Nagarkot is a popular adventure destination in the Hilly region of Nepal. Known for its hiking, trekking, picnic spot, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Nagarkot — a beautiful adventure destination in Nepal.,Hiking|Trekking|Picnic Spot,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/nagarkot.jpg,27.9952,87.7067,"hiking,trekking,picnic spot",True
Indra sarovar lake,indra-sarovar-lake,Hilly,Nature,"Indra sarovar lake is a popular nature destination in the Hilly region of Nepal. Known for its lake, pond, cultural, boat tour, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Indra sarovar lake — a beautiful nature destination in Nepal.,Lake|Pond|Cultural|Boat Tour,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/indra-sarovar-lake.jpg,28.4458,84.3048,"lake,pond,cultural,boat tour",False
Swayambhunath temple,swayambhunath-temple,Hilly,Cultural,"Swayambhunath temple is a popular cultural destination in the Hilly region of Nepal. Known for its temple, statues, cultural, sculpture, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Swayambhunath temple — a beautiful cultural destination in Nepal.,Temple|Statues|Cultural|Sculpture|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/swayambhunath-temple.jpg,26.5939,87.9368,"temple,statues,cultural,sculpture",False
Panauti,panauti,Hilly,Adventure,"Panauti is a popular adventure destination in the Hilly region of Nepal. Known for its hiking, cycling, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Panauti — a beautiful adventure destination in Nepal.,Hiking|Cycling|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/panauti.jpg,26.8424,84.4087,"hiking,cycling",False
Dolakha Bhimsen temple,dolakha-bhimsen-temple,Hilly,Cultural,"Dolakha Bhimsen temple is a popular cultural destination in the Hilly region of Nepal. Known for its temple, statues, cultural, sculpture, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Dolakha Bhimsen temple — a beautiful cultural destination in Nepal.,Temple|Statues|Cultural|Sculpture|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/dolakha-bhimsen-temple.jpg,28.0339,81.6173,"temple,statues,cultural,sculpture",False
Shailung Hills,shailung-hills,Hilly,Adventure,"Shailung Hills is a popular adventure destination in the Hilly region of Nepal. Known for its hill, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Shailung Hills — a beautiful adventure destination in Nepal.,Hill|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/shailung-hills.jpg,26.9522,87.6746,"hill,trekking",False
Jiri,jiri,Hilly,Nature,"Jiri is a popular nature destination in the Hilly region of Nepal. Known for its hill, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Jiri — a beautiful nature destination in Nepal.,Hill|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/jiri.jpg,29.187,86.1343,"hill,trekking",False
Gaurishankar conservation area,gaurishankar-conservation-area,Hilly,Nature,"Gaurishankar conservation area is a popular nature destination in the Hilly region of Nepal. Known for its red panda, mountain, hills, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Gaurishankar conservation area — a beautiful nature destination in Nepal.,Red Panda|Mountain|Hills|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/gaurishankar-conservation-area.jpg,26.7981,86.6371,"red panda,mountain,hills,trekking",False
Jilu Village,jilu-village,Hilly,Cultural,"Jilu Village is a popular cultural destination in the Hilly region of Nepal. Known for its cultural, village, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Jilu Village — a beautiful cultural destination in Nepal.,Cultural|Village|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/jilu-village.jpg,28.6573,84.8346,"cultural,village",False
